epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
67,1277.64,1.19698,4.27432,1.25032,0.58444,0.3858,0.40843,0.26868,1.32095,inf,1.27772,1.78576e-05,1.78576e-05,1.78576e-05,1
68,1297.93,1.203,4.26057,1.24956,0.57435,0.39178,0.40872,0.26866,1.32153,inf,1.27676,1.69526e-05,1.69526e-05,1.69526e-05,1
69,1316.73,1.1931,4.23628,1.2475,0.57421,0.39259,0.40901,0.26929,1.31988,inf,1.27608,1.60643e-05,1.60643e-05,1.60643e-05,1
70,1335.75,1.20129,4.24471,1.25633,0.57502,0.38821,0.40881,0.26972,1.31938,inf,1.27688,1.51935e-05,1.51935e-05,1.51935e-05,1
71,1354.57,1.19535,4.2489,1.24731,0.57319,0.38918,0.40932,0.2692,1.32139,inf,1.27776,1.43411e-05,1.43411e-05,1.43411e-05,1
72,1373.9,1.19205,4.22076,1.24769,0.57709,0.38507,0.40886,0.26875,1.32216,inf,1.27872,1.35079e-05,1.35079e-05,1.35079e-05,1
73,1392.21,1.21145,4.30274,1.25888,0.57656,0.38761,0.4077,0.26822,1.32252,inf,1.27962,1.26948e-05,1.26948e-05,1.26948e-05,1
74,1411.65,1.20017,4.26966,1.25131,0.57668,0.38802,0.40833,0.26863,1.32362,inf,1.28062,1.19026e-05,1.19026e-05,1.19026e-05,1
75,1430.26,1.21838,4.31385,1.25937,0.58419,0.38458,0.40747,0.2686,1.32259,inf,1.27987,1.1132e-05,1.1132e-05,1.1132e-05,1
76,1449.92,1.20128,4.24349,1.24969,0.58557,0.38655,0.40847,0.26965,1.32165,inf,1.27905,1.03838e-05,1.03838e-05,1.03838e-05,1
77,1468.84,1.20515,4.28163,1.25162,0.58508,0.3862,0.4087,0.26962,1.32075,inf,1.27791,9.65876e-06,9.65876e-06,9.65876e-06,1
78,1488.09,1.19177,4.21516,1.24114,0.58606,0.38538,0.4082,0.26936,1.32203,inf,1.27881,8.95757e-06,8.95757e-06,8.95757e-06,1
79,1505.72,1.19164,4.22048,1.24542,0.58244,0.38679,0.40818,0.26911,1.32192,inf,1.27891,8.28093e-06,8.28093e-06,8.28093e-06,1
80,1525.37,1.19606,4.2719,1.25261,0.58545,0.38564,0.40765,0.26881,1.32318,inf,1.27975,7.62951e-06,7.62951e-06,7.62951e-06,1
81,1544.73,1.19089,4.24045,1.24645,0.58038,0.38707,0.40805,0.26857,1.32299,inf,1.27996,7.00395e-06,7.00395e-06,7.00395e-06,1
82,1562.61,1.19762,4.31731,1.25547,0.5834,0.38735,0.4086,0.26899,1.32247,inf,1.27914,6.40487e-06,6.40487e-06,6.40487e-06,1
83,1581.83,1.19798,4.28345,1.25646,0.57864,0.38964,0.40884,0.26911,1.32118,inf,1.27813,5.83286e-06,5.83286e-06,5.83286e-06,1
84,1601.16,1.19346,4.2486,1.249,0.57838,0.38891,0.40858,0.26906,1.32174,inf,1.27811,5.28849e-06,5.28849e-06,5.28849e-06,1
